scheme_id,scheme_name,ministry,category,eligibility_gender,eligibility_min_age,eligibility_max_age,eligibility_income_limit,eligibility_caste,eligibility_state,benefits,application_process,description_en,description_hi
1,"Pradhan Mantri Jan Dhan Yojana (PMJDY)","Ministry of Finance","Financial Inclusion","All",18,65,0,"All","All","Zero balance bank account, RuPay debit card, Rs 2 lakh accident insurance, Rs 30000 life insurance, overdraft facility up to Rs 10000","Apply at any bank branch with Aadhaar/ID proof and address proof","Financial inclusion programme ensuring access to financial services like banking, savings & deposit accounts, remittance, credit, insurance, pension.","वित्तीय समावेश कार्यक्रम जो बैंकिंग, बचत और जमा खाते, प्रेषण, ऋण, बीमा, पेंशन जैसी वित्तीय सेवाओं तक पहुंच सुनिश्चित करता है।"
2,"Pradhan Mantri Awas Yojana (PMAY)","Ministry of Housing and Urban Affairs","Housing","All",18,70,1800000,"EWS/LIG/MIG","All","Subsidy up to Rs 2.67 lakh for home loans, affordable housing for all","Apply through PMAY portal or Common Service Centre (CSC)","Affordable housing scheme providing central assistance to EWS/LIG/MIG categories for construction or enhancement of houses.","आर्थिक रूप से कमजोर/निम्न आय/मध्यम आय वर्ग को मकान निर्माण या सुधार के लिए केंद्रीय सहायता प्रदान करने वाली किफायती आवास योजना।"
3,"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Ministry of Agriculture","Agriculture","All",18,99,0,"All","All","Rs 6000 per year in three equal instalments directly to bank account","Register through PM-KISAN portal, CSC or State Agriculture Department","Income support of Rs 6000 per year to all land holding farmer families to supplement their financial needs.","सभी भूमिधारक किसान परिवारों को उनकी वित्तीय जरूरतों को पूरा करने के लिए प्रति वर्ष 6000 रुपये की आय सहायता।"
4,"Pradhan Mantri Ujjwala Yojana (PMUY)","Ministry of Petroleum and Natural Gas","Energy","Female",18,99,0,"BPL","All","Free LPG connection with deposit-free cylinder, first refill and stove free of cost","Apply through LPG distributor with BPL card, Aadhaar, and bank details","Free LPG connections to women from Below Poverty Line (BPL) households to reduce health hazards from cooking with fossil fuels.","BPL परिवारों की महिलाओं को जीवाश्म ईंधन से खाना पकाने के स्वास्थ्य खतरों को कम करने के लिए मुफ्त एलपीजी कनेक्शन।"
5,"Sukanya Samriddhi Yojana","Ministry of Finance","Financial Inclusion","Female",0,10,0,"All","All","High interest savings account (currently 8.2%), tax benefits under 80C, maturity at age 21","Open account at any Post Office or authorized bank with birth certificate","Small savings scheme for the girl child with attractive interest rate and tax benefits to build a fund for her education and marriage.","बालिकाओं के लिए आकर्षक ब्याज दर और कर लाभ के साथ छोटी बचत योजना।"
6,"Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)","Ministry of Rural Development","Employment","All",18,99,0,"All","All","100 days guaranteed wage employment per year, unemployment allowance if work not provided within 15 days","Apply at Gram Panchayat with photo and age proof","Legal guarantee of 100 days of wage employment in a financial year to every rural household whose adult members volunteer to do unskilled manual work.","ग्रामीण परिवारों को प्रति वर्ष 100 दिन के गारंटीकृत मजदूरी रोजगार की कानूनी गारंटी।"
7,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY)","Ministry of Health and Family Welfare","Health","All",0,99,0,"SECC/BPL","All","Health insurance cover of Rs 5 lakh per family per year, cashless treatment at empanelled hospitals","Check eligibility on mera.pmjay.gov.in or call 14555","World's largest health insurance scheme providing Rs 5 lakh per family per year for secondary and tertiary care hospitalisation.","5 लाख रुपये प्रति परिवार प्रति वर्ष का स्वास्थ्य बीमा कवर।"
8,"Pradhan Mantri Mudra Yojana (PMMY)","Ministry of Finance","Financial Inclusion","All",18,65,0,"All","All","Loans up to Rs 10 lakh without collateral: Shishu (up to 50K), Kishore (50K-5L), Tarun (5L-10L)","Apply at any bank, NBFC, or MFI with business plan","Micro-enterprise development loans for non-corporate, non-farm small/micro enterprises up to Rs 10 lakh.","गैर-कॉर्पोरेट, गैर-कृषि लघु/सूक्ष्म उद्यमों के लिए 10 लाख रुपये तक के ऋण।"
9,"National Pension System (NPS)","Ministry of Finance","Social Security","All",18,70,0,"All","All","Pension after retirement, tax benefits under 80CCD, partial withdrawal allowed","Register through eNPS portal or Point of Presence (PoP)","Voluntary defined contribution pension system for citizens to build a retirement corpus.","सेवानिवृत्ति कोष बनाने के लिए स्वैच्छिक अंशदान पेंशन प्रणाली।"
10,"Stand Up India","Ministry of Finance","Entrepreneurship","All",18,65,0,"SC/ST/Women","All","Bank loans between Rs 10 lakh to Rs 1 crore for greenfield enterprises in manufacturing, services, or trading","Apply through Stand Up India portal or bank branches","Facilitating bank loans to SC/ST and women entrepreneurs for setting up greenfield enterprises.","SC/ST और महिला उद्यमियों को ग्रीनफील्ड उद्यम स्थापित करने के लिए बैंक ऋण।"
11,"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Ministry of Agriculture","Agriculture","All",18,99,0,"All","All","Crop insurance at premium of 2% for Kharif, 1.5% for Rabi, 5% for commercial crops","Apply through CSC, bank, or PMFBY portal before sowing season","Comprehensive crop insurance scheme providing financial support to farmers suffering crop loss/damage.","फसल हानि/क्षति से पीड़ित किसानों को वित्तीय सहायता प्रदान करने वाली व्यापक फसल बीमा योजना।"
12,"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Ministry of Women and Child Development","Women & Child","Female",19,99,0,"All","All","Rs 5000 cash incentive for first living child in three instalments for pregnant and lactating mothers","Register at Anganwadi Centre or approved health facility","Maternity benefit for pregnant and lactating mothers for first living child to improve health seeking behaviour.","पहले जीवित बच्चे के लिए गर्भवती और स्तनपान कराने वाली माताओं के लिए मातृत्व लाभ।"
13,"Atal Pension Yojana (APY)","Ministry of Finance","Social Security","All",18,40,0,"All","All","Guaranteed minimum pension of Rs 1000-5000 per month after age 60","Enroll through bank with savings account and Aadhaar","Pension scheme for unorganised sector workers guaranteeing minimum pension after age 60.","असंगठित क्षेत्र के कामगारों के लिए 60 वर्ष की आयु के बाद न्यूनतम पेंशन की गारंटी।"
14,"National Social Assistance Programme (NSAP)","Ministry of Rural Development","Social Security","All",0,99,0,"BPL","All","Monthly pension: Rs 200-500 for elderly, Rs 300 for widows, Rs 300 for disabled persons","Apply through District Social Welfare Officer or Panchayat","Social security for elderly, widows, disabled belonging to below poverty line (BPL) households.","BPL परिवारों के बुजुर्गों, विधवाओं, विकलांग व्यक्तियों के लिए सामाजिक सुरक्षा।"
15,"Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)","Ministry of Consumer Affairs","Food Security","All",0,99,0,"BPL/AAY","All","5 kg free foodgrain per person per month under NFSA","Ration card holders automatically eligible, collect from Fair Price Shop","Free foodgrain distribution to priority households and Antyodaya Anna Yojana (AAY) families.","प्राथमिकता वाले परिवारों को मुफ्त खाद्यान्न वितरण।"
16,"Beti Bachao Beti Padhao","Ministry of Women and Child Development","Women & Child","Female",0,18,0,"All","All","Awareness about girl child education, prevention of gender biased sex selection, survival and education of girl child","District level programmes and Sukanya Samriddhi account linkage","Multi-sectoral intervention to address declining child sex ratio and empower the girl child through education.","गिरते बाल लिंगानुपात को संबोधित करने और शिक्षा के माध्यम से बालिकाओं को सशक्त बनाने के लिए बहु-क्षेत्रीय हस्तक्षेप।"
17,"Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)","Ministry of Finance","Insurance","All",18,50,0,"All","All","Life insurance cover of Rs 2 lakh at premium of Rs 436 per year, auto-debit from bank account","Enroll through bank branch, online banking, or insurance company","Affordable life insurance scheme providing Rs 2 lakh coverage on death due to any reason.","किसी भी कारण से मृत्यु पर 2 लाख रुपये का कवरेज।"
18,"Pradhan Mantri Suraksha Bima Yojana (PMSBY)","Ministry of Finance","Insurance","All",18,70,0,"All","All","Accident insurance cover of Rs 2 lakh (death) or Rs 1 lakh (partial disability) at premium of Rs 20 per year","Enroll through bank branch or online banking","Affordable accident insurance scheme with annual premium of just Rs 20.","मात्र 20 रुपये वार्षिक प्रीमियम के साथ किफायती दुर्घटना बीमा योजना।"
19,"Skill India Mission / PMKVY","Ministry of Skill Development","Skill Development","All",15,45,0,"All","All","Free skill training, certification, monetary reward of Rs 8000, placement assistance","Register through Skill India portal or training centres","Short-term skill training and certification for youth to improve employability.","युवाओं की रोजगार क्षमता में सुधार के लिए अल्पकालिक कौशल प्रशिक्षण।"
20,"Digital India Programme","Ministry of Electronics and IT","Digital Literacy","All",14,60,0,"All","All","Free digital literacy training, subsidised internet access in rural areas, e-governance services","Register through CSC or Digital India portal","Programme to transform India into a digitally empowered society and knowledge economy.","भारत को डिजिटल रूप से सशक्त समाज में बदलने का कार्यक्रम।"
21,"PM SVANidhi - PM Street Vendors AtmaNirbhar Nidhi","Ministry of Housing and Urban Affairs","Financial Inclusion","All",18,65,0,"All","All","Working capital loan up to Rs 50000 without collateral, 7% interest subsidy, digital payment incentive","Apply through PM SVANidhi portal with Certificate of Vending","Microcredit scheme for street vendors to resume livelihoods affected by COVID-19.","पथ विक्रेताओं के लिए सूक्ष्म ऋण योजना।"
