scheme_slug,scheme_name,faq_number,question,answer
108easuk,"108, Emergency Ambulance Service - Uttarakhand",1,What is the main objective of the scheme?,Its main objective is to provide immediate medical assistance by ensuring rapid transportation to hospitals and delivering essential first aid.
108easuk,"108, Emergency Ambulance Service - Uttarakhand",2,Who can avail the emergency service?,"Anyone facing a medical emergency, including accident victims and individuals needing urgent medical care, can avail the service."
108easuk,"108, Emergency Ambulance Service - Uttarakhand",3,Is the 108 ambulance service free of cost?,"Yes, the service is completely free of cost."
108easuk,"108, Emergency Ambulance Service - Uttarakhand",4,How can someone access the 108 ambulance?,The service can be accessed by simply calling 108 from any phone.
108easuk,"108, Emergency Ambulance Service - Uttarakhand",5,How many ambulances operate under this service in Uttarakhand?,A total of 272 ambulances provide emergency services across the state.
15dsugt,15 Days Skill Up-gradation Training,1,Who is eligible for this scheme?,All registered beneficiaries of the A.P. Building and Other Construction Workers Welfare Board are eligible.
15dsugt,15 Days Skill Up-gradation Training,2,Do workers receive any benefits upon completion?,"Yes, they receive stipends and tool kits upon completing the training program."
15dsugt,15 Days Skill Up-gradation Training,3,Which organizations provide the training?,"Training is provided by the National Academy of Construction, Government ITIs, and other professional institutions."
15dsugt,15 Days Skill Up-gradation Training,4,Is there any cost involved in the training?,"No, the training is free of cost for eligible workers."
15dsugt,15 Days Skill Up-gradation Training,5,What kind of skills will be taught?,"The program focuses on new skill acquisition, upgradation of existing skills, and education on safety and hygiene."
15dsugt,15 Days Skill Up-gradation Training,6,How long is the training program?,The duration of the training varies based on the specific program selected.
15dsugt,15 Days Skill Up-gradation Training,7,Can unregistered workers apply for the scheme?,"No, only registered beneficiaries of the Welfare Board are eligible for this scheme."
15dsugt,15 Days Skill Up-gradation Training,8,What is the goal of the capacity-building component?,The capacity-building programs are aimed at training officers and staff for effective implementation of welfare schemes.
15dsugt,15 Days Skill Up-gradation Training,9,What documents are needed to apply?,"Needs to submit a registration certificate, Aadhaar card, proof of employment, and bank details for stipend disbursement."
