scheme_id,scheme_name,short_title,ministry,category,sub_category,level,state_ut,target_beneficiaries,eligibility_criteria,eligibility_gender,eligibility_min_age,eligibility_max_age,eligibility_income_limit,eligibility_caste,benefits,application_process,documents_required,description_en,description_hi,source_url
1,"108, Emergency Ambulance Service - Uttarakhand",108EASUK,Medical Health And Family Welfare Department,Health & Wellness,Emergency medical assistance,State/ UT,Uttarakhand,Individual,The beneficiary must be a resident of Uttarakhand.; The benefit is provided to accident victims and individuals requiring emergency services.,All,0,99,0,ST,"- In any type of medical emergency, patients are transported to the hospital and provided with first aid facilities. | - The benefits of this service are being provided to the residents of the state through 272 ambulances.",The services can be availed free of cost by calling 108.,"Identity proof of the patient; Medical report, if any; Other supporting documents as required","The “108 Emergency Ambulance Service” is implemented by the Department of Medical Health and Family Welfare, Government of Uttarakhand. It aims to provide immediate medical assistance during emergencies by ensuring quick patient transportation to hospitals and offering essential first aid.",,https://www.myscheme.gov.in/schemes/108easuk
2,15 Days Skill Up-gradation Training,15DSUGT,Labour Department,Skills & Employment,Training and Skill Up-gradation; Career information,State/ UT,Andhra Pradesh,Individual,The applicant should be a registered construction worker under the Andhra Pradesh Building and Other Construction Workers Welfare Board.,All,0,99,0,ST,"- Stipend of ₹7,000/-. | - Skill development training for construction workers. | - Tool kits provided post-training.","Step-1: The interested applicant should visit (during office hours) the A.P. Building & Other Construction Workers Welfare Board and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). | Step-3: Submit the duly filled and signed application form along with the documents to the Assistant Labour Officer/Assistant Commissioner of Labour. | Step-4: Request a receipt or acknowledgement from the Assistant Labour Officer/Assistant Commissioner of Labour to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card of the Worker.; Registration Certificate with the Welfare Board.; Bank Account Details.; Any Other Documents if required.,"The A. P. Building and Other Construction Workers Welfare Board launched a welfare scheme ""15 Days Skill Up-gradation Training"". The scheme aims to provide skill training, safety, and hygiene education for building and other construction workers registered with the Andhra Pradesh Building and Other Construction Workers Welfare Board. Upon successful completion of the training, workers will receive stipends and tool kits. This scheme will help workers acquire new skills or upgrade existing ones, improving their productivity and employability.",,https://www.myscheme.gov.in/schemes/15dsugt
3,100% Penalty Mafi Yojana,1PMY,Urban Development and Urban Housing Department,Housing & Shelter; Utility & Sanitation,Housing,State/ UT,Gujarat,Individual,"The applicant must be a resident of Gujarat.; The applicant must be a beneficiary of the Gujarat Housing Board or Slum Clearance Cell.; The applicant must have pending installment arrears under the old schemes of the Gujarat Housing Board and Slum Clearance Cell.; The applicant must clear all arrears of installments in one lump sum payment.; The applicant must complete the payment by 31st March.; The applicant must be either the original tenant, a successive power of attorney holder, or the existing occupant of the property.",All,0,99,0,SC/ST,- The applicant receives 100% waiver on the penalty amount accumulated on pending installments. | - The waiver is applicable on all arrears of installments pertaining to old schemes of the Gujarat Housing Board and Slum Clearance Cell. | - The benefit is a one-time waiver granted upon fulfillment of payment conditions. | - The waiver is applied at the time of final settlement of dues. | Conditions | _All arrears of installments must be paid in one go (lump sum payment)._ | _The payment must be completed by 31st March._ | _*The waiver applies only to the penalty component; the principal installment amount must be paid in full._,"Step 1: Access the online application form. Enter all mandatory personal information. Verify that all mandatory fields marked with asterisk () have been filled. | Step 2: For document upload, click ""Choose File"" or drag and drop documents into appropriate upload fields. Ensure all documents are clear, legible, and within the specified file size limits. | Step 3: Carefully review all entered information and uploaded documents for accuracy and completeness. Click ""Submit"". Note down any application reference number or acknowledgment number provided for future tracking and correspondence. | Step 4: After successful application submission, proceed to pay all pending arrears of installments in one lump sum payment through designated Gujarat Housing Board payment channels by 31st March. Retain payment receipts for record and verification purposes. | Application Deadline*** | The critical deadline for completing the lump sum payment of all arrears is 31st March of the respective year.","Aadhaar Card.; Permanent Account Number Card.; Income Certificate.; Copy of Power of Attorney and Fee Receipt.; Copy of All Power of Attorney and Agreements Successive to the Original Tenant.; Copy of Rent Agreement, Delivery of Rent, or Letter from the Landlord.; Death Certificate (In case of death of the original tenant or power of attorney holder).; Latest Photograph of the House.; Copy of the Municipality or Municipal Corporation's Last Year's Tax Bill of the Building.; Copy of the Search Report of the House or Flat from the Registration Office of the Locality or Document (Latest).; Xerox Copies of the Receipt of the Amount Previously Paid to the Gujarat Housing Board.; Firm Name on a Stamp Paper of ₹300/- (In case of death of the original tenant or power of attorney holder).; Title Consent Form on a Stamp Paper of ₹300/-.","The scheme ""100% Penalty Mafi Yojana"" was launched by the Urban Development and Urban Housing Department, Government of Gujarat. The scheme aims to provide financial relief to beneficiaries of the Gujarat Housing Board and Slum Clearance Cell who have pending installment dues by offering a complete waiver of penalty amounts, thereby reducing the financial burden on property allottees and encouraging them to clear their outstanding dues. The scheme provides 100% waiver on penalty amounts if all arrears of installments are paid in one go by 31st March and facilitates the transfer of property ownership to eligible applicants. The applications for this scheme are accepted Online.",,https://www.myscheme.gov.in/schemes/1pmy
4,25% Capital Investment Subsidy Scheme,25%CISS,"Industries Department, Lakshadweep",Business & Entrepreneurship,Setting up / start-up / entrepreneurship,State,Lakshadweep,Individual,"Any individual above 18 years of age including Women, ex-servicemen &amp; physically handicapped is eligible to apply under the scheme.; New Micro or Small units engaged in manufacturing/servicing except the activities specified in the **Negative List** are eligible to claim a 25% Capital Investment Subsidy established in Lakshadweep Islands.   1. Micro Enterprises/Units, where the investment in Plant &amp; Machinery and Building below ₹25.00 Lakhs is only eligible under this Scheme.; The Entrepreneurs Memorandum Part-II (Permanent Registration) under the MSME Act 2006 filed before the Director of Industries, U.T. of Lakshadweep or Udyog Aadhar registration/otherwise shall be eligible for availing subsidy under this scheme as per [Annexure-I](https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2019/08/2019082183.pdf).   1. Institutions registered under the Societies Registration Act 1960 and Self-Help Groups that have not availed financial benefits under any other scheme are eligible for a 25% Capital Investment Subsidy.; Any industry/business connected with the processing/preparing of intoxicated items like Beedi/Pan/Cigarette etc.; Manufacturing of Polythene carry bags of less than 20Microns thickness and manufacture of carry bags or containers made of recycled plastic for storing, carrying, dispensing, or packaging of foodstuff and any other items that cause environmental problems.",All,18,99,0,SC/ST,"- Under the scheme, financial assistance of 25 % of the total cost of the Enterprise inclusive of land, machinery, and construction limited to the maximum amount of ₹6.25 lakhs will be provided to the eligible entrepreneurs.","Step 01: The Scheme will be advertised/ published through the Panchayat Raj Institution and Lakshadweep website every year to attract more Entrepreneurs. | Step 02: Newly established Entrepreneurs shall submit their application form as per the guidelines issued by the Department of Industries to the concerned DCs/SDOs of respective islands along with all the supporting documents. | Step 03: The duly constituted Island level Committee under the Chairmanship of DCs/SDOs shall verify the claims submitted by the Entrepreneur and also physically inspect the Units. The same may be forwarded to the Director, Industries in the prescribed format (Annexure-IV) with complete details including bills received from the Entrepreneur. | A. Island Level Committee except Bitra are as follows: | - Deputy Collector/ SDOs- Chairman | - Assistant Engineer (PWD)- Member | - Senior Auditor/JAO, FPU- Member | - Senior most Supervisor, Department of Industries - Member | Bitra: | - Assistant Engineer (PWD)- Chairman | - Authorised Officer Bitra- Member | - Executive Officer, Panchayat- Member | B. District Level Scrutinising Committee | - The Secretary (Industries) – Chairman | - The Accounts Officer(1), DP - Member | - The Superintending Engineer, LPWD- Member | - The Director (Plg. &amp; Stats) – Member | - The Director of Industries – Member | Note: The District Level Committee (DLC) shall verify the details received from the Island Level Committee and recommend the quantum of subsidy to the Beneficiary according to the guidelines.","Photocopy of the Aadhaar Card; Caste certificate; Bank account details; Certificate of physically handicapped, if applicable; A certified copy of the Age of Entrepreneurs issued by the Competent Authority is required to be produced with a subsidy claim.; Certified copy of the ownership certificate of land and building.; Plan &amp; cost of the building certified by the Assistant Engineer (Civil) ([Annexure-II](https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2019/08/2019082183.pdf))- The taxes paid bills/GST &amp; its registration Number are not required for the purchase bills pertaining to Plants and machinery purchased before the introduction of GST (July 2017). The taxes paid bills are only eligible for subsidy.; Entrepreneurs should execute an Agreement/Bond on non-judicial stamp paper worth ₹100/- with Director Industries as per [Annexure-III](https://cdn.s3waas.gov.in/s358238e9ae2dd305d79c2ebc8c1883422/uploads/2019/08/2019082183.pdf) enclosed for executing an agreement.","Introduction: | The Union Territory of Lakshadweep has been declared as the “No industrial Area” and hence no scope for establishing major Industries in this UT. The Govt. of India is giving significant emphasis on setting up Small-Scale Industrial units for the economic development of the Islands in order to create self-employment/ job opportunities considering the lack of employment in the Government Sector under the U.T. Administration. Specific studies were conducted by the Planning Commission in pursuance of the decision taken by the Standing Committee of the Island Development Authority and constituted an Expert Committee. The Committee learned about problems of Industrialization in these Islands and identified special needs that would accelerate the Start-up Industries in Lakshadweep. Based on the recommendation of the expert committee, Govt. of India has approved the implementation of a scheme called 25% Capital Investment Subsidy to the local entrepreneurs for promoting Micro and Small Enterprises in Lakshadweep. This scheme paves the way to improve industrialization and to facilitate local entrepreneurs/unemployed youth to take up viable ventures (Micro &amp; Small Enterprises) in the Islands. | Objective of the Scheme: | •	To promote Micro &amp; Small Enterprises. | •	To generate employment opportunities in the private sector. | •	Industrial Promotion &amp; Economic Development of the islands.",,https://www.myscheme.gov.in/schemes/25-ciss
5,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",40SHYDCS,Department of Industries and Commerce,Business & Entrepreneurship,Credit Linked Subsidy,State,Andhra Pradesh,Individual,"The subsidy will be available only on purchase / procurement of yarn from NHDC, Yarn Deports sanctioned by NHDC and APCO for self-consumption of Handloom Weaver Cooperative Societies for providing work to weaver members.; The subsidy will be allowed only on the Hank yarn purchased from the APCO & NHDC and its depots and utilized for the production on Societies, account during the quarter.; The claims for subsidy shall be submitted by the Weavers Cooperative Societies in the prescribed proforma on quarterly basis during the financial year with in 15 days from the end of the respective quarter.; The claims for subsidy in complete shape should reach Head Office with in 30 days from the end of the Quarter.",All,0,99,0,SC,,,,"The ""40% subsidy on Hank Yarn, Dyes & Chemicals Scheme"" is a Subsidy Scheme by the Department of Handlooms & Textiles, Government of Andhra Pradesh. The entire assistance under the scheme will be in the form of Grant from the State Government. The scheme is operative from 29th April 2011. The subsidy will be available only on purchases / procurements from NHDC & APCO. The amount sanctioned will be credited directly to the members bank account of the concerned primary weavers cooperative societies.",,https://www.myscheme.gov.in/schemes/40shydcs
6,6% Interest Subsidy on Loans taken through Banks for Study Abroad,6ISLBSA,Tribal Development Department,"Education & Learning; Banking,Financial Services and Insurance",Universities and higher education; International education; Loan,State/ UT,Gujarat,Individual,The applicant must be a resident of Gujarat’s tribal areas.; The applicant must belong to the Scheduled Tribe category.; The applicant must have passed Higher Secondary Certificate (HSC) or equivalent examination.; The applicant must have secured admission in a recognized foreign university for higher studies.,All,0,99,0,SC/ST,"- Interest subsidy of 6% per annum on loans taken through banks for foreign education. | - Maximum subsidy of ₹1,50,000 for 3 years. | - Applicable on loans up to ₹25,00,000.","Step 1: The interested applicant should visit (during office hours) at the office of the Project Administrator, Gujarat Tribal Development Corporation, Gandhinagar, and all tribal district offices and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attestted, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the office of the Tribal District Sponsorship Administrator. | Step 4:** Request a receipt or acknowledgment from the office of the Tribal District Sponsorship Administrator. to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card; Birth Certificate; Certificate of Professional Course; Identity Card; Marksheets; Passport-size Photo; Fee Reciept; Bank Passbook/Cancelled Cheque; Caste Certificate; Loan Approval Letter; School Leaving Certificate,"The ""6% Interest Subsidy on Loans taken through Banks for Study Abroad"" scheme was launched by the Tribal Development Department, Government of Gujarat. The scheme aims to support Scheduled Tribe (ST) students pursuing higher education abroad by reducing their financial burden. Under this scheme, beneficiaries receive an interest subsidy on education loans with a maximum subsidy for three years.",,https://www.myscheme.gov.in/schemes/6islbsa
7,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,6ISLBSE,Tribal Development Department,Skills & Employment; Business & Entrepreneurship,Career information; Entrepreneurship development; Loan; Credit Linked Subsidy; Setting up / start-up / entrepreneurship,State/ UT,Gujarat,Individual,The applicant must belong to the Scheduled Tribe (ST) category.; The applicant must be a resident of tribal areas in Gujarat.; The applicant must have availed a bank loan for self-employment purposes.,All,0,99,0,SC/ST,"- 6% interest subsidy on loans taken through banks. | - Maximum loan amount eligible: ₹5,00,000/-.","Step 1: The interested applicant should visit (during office hours) at the office of the Project Administrator, Gujarat Tribal Development Corporation, Gandhinagar, and all tribal district offices and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attestted, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the office of the Tribal District Sponsorship Administrator. | Step 4:** Request a receipt or acknowledgment from the office of the Tribal District Sponsorship Administrator. to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card; Bank Passbook/Cancelled Cheque; Caste Certificate; Loan Approval Letter; Passport-size Photos,"The ""6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment"" scheme was launched by the Tribal Development Department, Government of Gujarat. It aims to promote self-employment among scheduled tribe (ST) individuals by making business loans affordable. Under this scheme, ST beneficiaries availing loans for self-employment are provided a interest subsidy to reduce financial burden and encourage entrepreneurship.",,https://www.myscheme.gov.in/schemes/6islbse
8,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,6ISLTVPB,Tribal Development Department,"Banking,Financial Services and Insurance; Skills & Employment",Loan; Career information; Entrepreneurship development,State/ UT,Gujarat,Individual,The applicant must be a resident of tribal areas in Gujarat.; The applicant must belong to the Scheduled Tribe (ST) category.; The applicant must have taken a bank loan specifically for vehicle purchase.,All,0,99,0,SC/ST,"- 6% interest subsidy on bank loans for vehicle purchase. | - Loan eligibility range: ₹5,00,000 to ₹20,00,000.","Step 1: The interested applicant should visit (during office hours) at the office of the Project Administrator, Gujarat Tribal Development Corporation, Gandhinagar, and all tribal district offices and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attestted, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the office of the Tribal District Sponsorship Administrator. | Step 4:** Request a receipt or acknowledgment from the office of the Tribal District Sponsorship Administrator. to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card; Bill of Vehicle Purchase; Copy of RC Book; Loan Approval Letter; Bank Passbook/Cancelled Cheque; Caste Certificate; Identity Card; Passport-size Photos,"The ""6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks"" scheme was launched by the Tribal Development Department, Government of Gujarat. It aims to support Scheduled Tribe (ST) individuals in purchasing vehicles for self-employment purposes. Under this scheme, tribal beneficiaries availing bank loans for vehicle purchase with interest subsidy. This financial support helps reduce the repayment burden on tribal entrepreneurs while encouraging mobility-based self-employment opportunities.",,https://www.myscheme.gov.in/schemes/6isltvpb
9,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,A-GAINER,Department Of Higher Education,Education & Learning; Transport & Infrastructure,Resources for schools; Infrastructure,Central,All,Institution,a. Government/ Government-aided technical/ engineering colleges/University Departments including Polytechnic Institutes of North East are entitled to the grant.; b. The institute must be in existence for the last five years.,All,0,99,0,ST,"The selected institutes will have to complete the sanctioned project as per the following guidelines:  |  Project Name: Solving Water Problems Project | Limit of Funding: ₹ 15,00,000 | Duration of Project: 2 years from the date of receipt of the first installment.  |  Project Name: Power/ Solar Energy Project | Limit of Funding: ₹ 20,00,000 | Duration of Project: 6 months from the date of receipt of the fund for the purpose.  |  Project Name: Internet Connection Project | Limit of Funding: ₹ 5,00,000 | Duration of Project: 6 months from the date of receipt of the fund for the purpose.  |  Disbursement of the Funds | The first installment is an advance of 80% of the sanctioned grant. | The second installment is reimbursement on successful completion of the project and submission of requisite documents by the institute.  |  Note: If the project is not initiated within six months, the institute shall have to refund the complete grant with accrued interest to AICTE with justification.","Step 1: Download and fill out the application form for AICTE-Grant for Augmenting Infrastructure in North Eastern Region (GAINER). | Step 2: Verify that every page of the application form has the signature and stamp of the Head of the Institute. | Step 3: Attach all the essential documents along with the filled application form. | Step 4: Kindly ensure all the information is correct and then sent the Application form along with all the essential documents through registered post/speed post to: | Advisor, | Institutional Development Cell, | All India Council for Technical Education, | Nelson Mandela Marg, Vasant Kunj, | New Delhi-110070  |  Processing of Proposals | a. Submission of application by the institute. | b. Screening/ scrutiny of applications at Council. | c. Evaluation of applications by the expert committee. | d. The final decision will be taken by the Council, keeping in view the recommendations made by the experts and the availability of funds for the scheme. | e. After the Council’s approval, the Sanction Letter and the first installment of funds for the Project will be sent to the institution.",,"Introduction | a. The scheme (operated hitherto as Special Scheme for NER) provides financial assistance to institutions located in the North East Region for solving water problems in the campus, providing alternative power support and high-speed internet connectivity. This will significantly address the infrastructural problems confronted by students on day to day basis. The Scheme is being implemented through the Indian Institute of Technology– Guwahati.  |  b. North East India largely has hilly regions where the supply of water is not regular throughout the year and during the dry season, there is no secured water supply in the institutes. Water harvesting projects are supported under the Scheme for assured water even during the dry season.  |  c. Most of the urban and rural areas in North Eastern India are deprived of continuous electricity supply, which not only affects daily life but also imparting of higher technical education. The scheme makes the provision of installations for captive solar power energy; at places where the solar energy is not effective, procurement of generators can be considered. Such support will make the technical institutes function better by meeting the shortage of conventional electricity supply:  |  d. The availability/ connection of the internet facility is also not up to the desired level in North Eastern Region. To mitigate this problem, funding | for setting up an initial internet connection is considered under the Scheme. Recurring expenditures for the future shall have to be borne by the institution.  |  Objective | To enhance the functional efficiency of the technical institutes located in far-flung areas of North East India, by addressing deficiencies in water, electricity, and internet connectivity on the campuses.",,https://www.myscheme.gov.in/schemes/a-gainer
10,ARAVANAIPPU,A-PUDU,"Women and Child Development Department, Puducherry",Women and Child; Social welfare & Empowerment,Hospitalization; Childcare; Financial Assistance,State/ UT,Puducherry,Individual,"The applicant should be a citizen of India.; The applicant should be a native of Puducherry by virtue of birth or continuous residence of not less than five years.; The applicant should have an annual family income not exceeding ₹24,000.; The applicant should be at least 18 years old.; The girl child of the applicant should be born after 1-4-2005.; The assistance is provided only for two girl children.",Female,18,99,0,ST,₹1200 financial assistance to lactating mothers. | The selection is periodical and depends on the availability of funds.,"Step 1: The interested applicant should visit (during office hours) the Office/ Sub-Office of the Department of Women and Child Development, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | OR | The interested applicant should take print of the prescribed format of the application form. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the Deputy Director (Women Development) or the Child Development Project Officer (depending on the location), at least 30 days before the proposed marriage date. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar Card.; Residence Certificate from the Revenue Department.; Income Certificate from the Revenue Department.; Voter ID Card.; Passport-sized Photograph.; Declaration/Undertaking (if any).; Birth Certificate of the Girl Child.; Bank or Post Office Passbook with Photo.; Permanent Account Number (PAN) Card.; Passport.; Ration Card.; Voter Identity Card.; MGNREGA Card.; Kisan Photo Passbook.; Driving license issued by the Licensing Authority under the Motor Vehicles Act, 1988 (59 of 1988).; Certificate of identity having a photo of such person issued by a Gazetted Officer or a Tehsildar on an official letterhead.; Any other document as specified by the Department.","The scheme ""ARAVANAIPPU"" is a financial assistance scheme by the Department of Women and Child Development, Government of Puducherry. This scheme aims to improve the status of the girl child and provide nutritious food; financial assistance of ₹1200 is offered to lactating mothers. The girl child of the applicant should be born after 1-4-2005. This assistance is provided only for upto two girl children.",,https://www.myscheme.gov.in/schemes/a-pudu
