ipc_section,bns_section,offense_description,mapping_note
1,1,"Short title and commencement","Direct mapping"
2,2,"Definitions","Expanded definitions in BNS"
3,3,"General explanations","Consolidated"
4,3,"Extension of Code to extra-territorial offences","Merged into section 3"
5,3,"Certain laws not to be affected by this Act","Merged into section 3"
6,4,"Punishments","Direct mapping with Community Service added"
7,5,"Commutation of sentence","Direct mapping"
8,6,"Fractions of terms of punishment","Direct mapping"
9,7,"Sentence may be rigorous or simple","Direct mapping"
10,8,"Amount of fine","Direct mapping with community service"
11,9,"Limit of punishment of offence made up of several offences","Direct mapping"
12,10,"Punishment of person guilty of one of several offences","Direct mapping"
13,11,"Solitary confinement","Direct mapping"
14,12,"Limit of solitary confinement","Direct mapping"
15,13,"Enhanced punishment for certain offences after previous conviction","Direct mapping"
34,14,"Act done by person bound by law","Direct mapping"
35,15,"Act of Judge when acting judicially","Direct mapping"
36,16,"Act done pursuant to judgment or order of Court","Direct mapping"
37,17,"Act done by person justified by law","Direct mapping"
38,18,"Accident in doing a lawful act","Direct mapping"
39,19,"Act likely to cause harm but done to prevent other harm","Direct mapping"
40,20,"Act of a child under seven years","Direct mapping"
41,21,"Act of a child above seven and under twelve","Direct mapping"
42,22,"Act of a person of unsound mind","Direct mapping"
43,23,"Act of person incapable of judgment by reason of intoxication","Direct mapping"
44,24,"Offence requiring particular intent committed by intoxicated person","Direct mapping"
45,25,"Act not intended to cause harm done by consent","Direct mapping"
46,26,"Act not intended to cause death done by consent for benefit","Direct mapping"
47,27,"Act done in good faith for benefit of child or unsound mind person","Direct mapping"
48,28,"Consent known to be given under fear or misconception","Direct mapping"
49,29,"Exclusion of acts which are offences independently of harm caused","Direct mapping"
50,30,"Act done in good faith for benefit without consent","Direct mapping"
51,31,"Communication made in good faith","Direct mapping"
52,32,"Act to which a person is compelled by threats","Direct mapping"
53,33,"Act causing slight harm","Direct mapping"
63,34,"Things done in private defence","Direct mapping"
64,35,"Right of private defence of body and property","Direct mapping"
65,36,"Right of private defence against person of unsound mind","Direct mapping"
66,37,"Acts against which there is no right of private defence","Direct mapping"
67,38,"When right of private defence extends to causing death","Includes acid attack"
68,39,"When right extends to causing harm other than death","Direct mapping"
69,40,"Commencement and continuance of right of private defence of body","Direct mapping"
70,41,"When right of private defence of property extends to causing death","Direct mapping"
71,42,"When such right extends to causing harm other than death","Direct mapping"
72,43,"Commencement and continuance of right of private defence of property","Direct mapping"
73,44,"Right of private defence against deadly assault with risk to innocent person","Direct mapping"
107,45,"Abetment of a thing","Direct mapping"
