scheme_slug,scheme_name,question,answer
108easuk,"108, Emergency Ambulance Service - Uttarakhand",What is the main objective of the scheme?,Its main objective is to provide immediate medical assistance by ensuring rapid transportation to hospitals and delivering essential first aid.
108easuk,"108, Emergency Ambulance Service - Uttarakhand",Who can avail the emergency service?,"Anyone facing a medical emergency, including accident victims and individuals needing urgent medical care, can avail the service."
15dsugt,15 Days Skill Up-gradation Training,Who is eligible for this scheme?,All registered beneficiaries of the A.P. Building and Other Construction Workers Welfare Board are eligible.
15dsugt,15 Days Skill Up-gradation Training,Do workers receive any benefits upon completion?,"Yes, they receive stipends and tool kits upon completing the training program."
1pmy,100% Penalty Mafi Yojana,"If I am the existing occupant of a property originally allotted to someone else, can I still benefit from this waiver if I hold valid successive power of attorney and clear all dues by the deadline?","Yes, existing occupants who hold valid successive power of attorney from the original tenant are eligible to apply. You must provide certified copies of all successive power of attorney documents and pay all arrears in one lump sum by March 31, 2025."
1pmy,100% Penalty Mafi Yojana,"What types of properties under the Gujarat Housing Board are covered, and does this include both old scheme allotments and properties under the Slum Clearance Cell?",The scheme covers properties allotted under old schemes of both the Gujarat Housing Board and the Slum Clearance Cell. All beneficiaries with pending installment arrears under these old schemes are eligible for the penalty waiver.
25-ciss,25% Capital Investment Subsidy Scheme,What is the “25% Capital Investment Subsidy Scheme”?,"The Union Territory of Lakshadweep has implemented the scheme ""25% Capital Investment Subsidy"" to provide financial assistance to local entrepreneurs for promoting Micro and Small Enterprises in Lakshadweep. This scheme paves the way to improve industrialization and to facilitate local entrepreneurs"
25-ciss,25% Capital Investment Subsidy Scheme,What is the objective of the scheme?,"The objective of the scheme is to promote Micro & Small Enterprises, generate employment opportunities in the private sector and Industrial Promotion & Economic Development of the islands."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",Which Department Manages This Scheme?,"This scheme is managed by the Department of Handlooms & Textiles, Government of Andhra Pradesh."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",Is This Scheme State Sponsored Or Centrally Sponsored?,This scheme is a 100% State Sponsored Scheme.
